x100    Alcohol or Drugs
101     Alcohol suspected
102     Alcohol test below limit
103     Alcohol test above limit or test refused
104     Alcohol test result unknown
105     Visibly intoxicated non-driver (pedestrian /cyclist/passenger
106
107
108     Drugs suspected
109     Drugs proven
x110    Too Fast for Conditions
111     Cornering
112     On straight
113     To give way at intersection
114     Approaching railway crossing
115     When passing stationary school bus
116     At temporary speed limit
117     At crash or emergency
x120    Failed to Keep Left
121     Swung wide on bend
122     Swung wide at intersection
123     Cutting corner on bend
124     Cutting corner at intersection
125     On straight section
126     Vehicle crossed raised median
127     Driving or riding abreast (cyclists more than 2 abreast)
128     Wandering or wobbling
129     Too far left/right
x130    Lost Control
131     When turning
132     Under heavy braking
133     Under heavy acceleration
134     While returning to seal from unsealed shoulder
135     Due to road conditions: (requires road series code)
136     Due to vehicle fault (requires vehicle series code)
137     Avoiding another vehicle, pedestrian, party or obstacle on roadway
138     On unsealed road
139     End of seal
x140    Failed to Signal in Time
141     When moving to left, pulling over to left
142     When turning left
143     When pulling out or moving to the right
144     When turning right
145     Incorrect Signal
x150    Overtaking
151     Overtaking line of traffic or queue
152     Deliberately in the face of oncoming traffic
153     Failed to notice oncoming traffic
154     Misjudged speed or distance of oncoming traffic
155     At no passing line
156     With insufficient visibility
157     At an intersection without due care
158     On left without due care
159     Cut in after overtaking
160     Vehicle signalling right turn
161     Without care at a pedestrian crossing
x170    Wrong Lane/Turned From Wrong Position
171     Turned right from incorrect lane
172     Turned left from incorrect lane
173     Travelled straight ahead from turning lane or flush median
174     Turned right from left side of road
175     Turned left from near centre line
176     Turned into incorrect lane
177     Weaving or cut in on multi-lane roads
178     Moved left to avoid slow vehicle
179     Motor vehicle in cycle lane
x180    In Line of Traffic
181     Following too closely
182     Travelling unreasonably slowly
183     Motorist crowded cyclist
x190    Sudden Action
191     Braked
192     Turned left
193     Turned right
194     Swerved to avoid pedestrian
195     Swerved to avoid animal
196     Swerved to avoid crash or broken down vehicle
197     Swerved to avoid vehicle
198     Swerved to avoid object or for unknown reason
x200    Forbidden Movements
201     Wrong way in one way street, motorway or roundabout
202     When turning or U turning contrary to a sign
203     Contrary to “in” or “out” only driveway sign
204     Driving or Riding on Footpath
205     On incorrect side of island or median
206     Contrary to “no entry” sign
207     In Car Park
x300    Failed to Give Way
301     At Stop Sign
302     At Give Way Sign
303     When Turning to Non-turning traffic
304     When deemed turning by markings, not geometry
305     When turning left, to opposing right turning traffic
306     To pedestrian on a crossing
307     When turning at signals to pedestrians
308     When entering roadway from driveway
309     To traffic approaching or crossing from the right
310     Failed to Give way at one lane bridge/road
311     Failed to give way to pedestrian on footpath or verge
312     Entering roadway not from driveway or intersection
x320    Did not Stop
321     At stop sign
322     At steady red light
323     At steady red arrow
324     At steady amber light
325     At steady amber arrow
326     At flashing red lights (Rail Xing, Fire Stn etc)
327     For police or flag-person
328     For school patrol/kea Xing
x330    Inattentive: Failed to Notice
331     Car slowing, stopping or stopped in front
332     Bend in road
333     Indication of vehicle in front
334     Traffic lights
335     Intersection or its Stop/Give Way control
336     Other regulatory sign/markings
337     Warning sign
338     Direction, information signs/markings
339     Road-works signs
340     Lane use arrows/markings?
341     Obstructions on Roadway
x350    Attention Diverted By:
351     Passengers
352     Scenery or persons outside vehicle
353     Other traffic
354     Animal or insect in vehicle
355     Trying to find intersection, house number, destination
356     Advertising or signs
357     Emotionally upset
358     Cigarette, radio, glove box etc
359     Cell phone or communications device
360     Driver dazzled
x370    Did not see or look for another party until too late
371     Behind when reversing / manoeuvring
372     Behind when changing lanes position or direction (includes U-turns
373     Behind when pulling out from parked position
374     Behind when opening door or leaving vehicle
375     When required to give way to traffic from another direction
376     When required to give way to pedestrians
377     When visibility obstructed by other vehicles
378     When visibility limited by roadside features
379     When first in queue on receiving green light
x380    Misjudged speed, distance, size or position of:
381     Other vehicle coming from behind or alongside
382     Other vehicle coming from another direction with right of way
383     Pedestrian movement or intention
384     Towed vehicle, or while towing a vehicle
385     Size or position of fixed object or obstacle
386     Of own vehicle
387     Misjudged intentions of another party
x400    Inexperience
401     in driving in fast, complex or heavy traffic
402     New driver showed inexperience
403     Driving strange vehicle
404     Overseas driver fails to adjust to local conditions
405     Driver under instruction
406     At towing trailer / other vehicle
407     Driver over-reacted
408     Unsupervised cyclist
x410    Fatigue (Drowsy, Tired, Fell Asleep)
411     Long trip
